"scenario_id","family","n","rho","attempted_replications","full_path_failures","calibration_failures","calibration_default_uses","cv_failures","projections","kappa_lower_endpoint_selections","kappa_upper_endpoint_selections","kappa_q25","kappa_median","kappa_q75","solver_warnings","maximum_radius_interpolation_error","mean_replication_seconds","mcse_replication_seconds"
"linear_iid_n500","gaussian",500,0,1000,0,0,0,0,0,0,0,6.30957344480193,8.57695898590894,8.57695898590894,0,4.27563549010301e-08,0.067,0.00028072906655494
"linear_iid_n1000","gaussian",1000,0,1000,0,0,0,0,0,0,0,6.30957344480193,8.57695898590894,8.57695898590894,0,3.95622223869907e-08,0.084876,0.000310327128892926
"logistic_iid_n500","binomial",500,0,1000,0,0,0,0,0,0,0,1.35935639087853,1.84784979742229,1.84784979742229,0,1.02299413384799e-08,0.169928,0.00038081732869952
"logistic_iid_n1000","binomial",1000,0,1000,0,0,0,0,0,0,0,1.35935639087853,1.35935639087853,1.84784979742229,0,4.75643456843144e-08,0.262611,0.000449417016427549
"linear_ar1_n500","gaussian",500,0.5,1000,0,0,0,0,0,0,0,6.30957344480193,6.30957344480193,8.57695898590894,0,3.86639897875796e-08,0.0705380000000006,0.000250925326580488
"linear_ar1_n1000","gaussian",1000,0.5,1000,0,0,0,0,0,0,0,4.64158883361278,6.30957344480193,8.57695898590894,0,1.99728535932309e-08,0.0870579999999999,0.00036242238615456
"logistic_ar1_n500","binomial",500,0.5,1000,0,0,0,0,0,0,0,1,1.35935639087853,1.84784979742229,0,3.3125058251926e-10,0.187764,0.000421756069526207
"logistic_ar1_n1000","binomial",1000,0.5,1000,0,0,0,0,0,0,0,1,1.35935639087853,1.35935639087853,0,1.5795365015947e-11,0.291749000000001,0.000453415465753645
"poisson_iid_n500","poisson",500,0,1000,0,0,0,0,0,0,0,4.64158883361278,4.64158883361278,6.30957344480193,0,1.2777334745806e-10,0.153931,0.000296131614207169
"poisson_iid_n1000","poisson",1000,0,1000,0,0,0,0,0,0,0,4.64158883361278,4.64158883361278,6.30957344480193,0,4.89786433632844e-10,0.240302,0.000438172101794222
