"radius_points","lhs_method","rhs_method","comparison","paired_replications","wrong_difference","wrong_difference_mcse","exact_difference","exact_difference_mcse","signed_attained_radius_error_difference","signed_attained_radius_error_difference_mcse","test_deviance_difference","test_deviance_difference_mcse","selected_grid_radius_difference","selected_grid_radius_difference_mcse","attained_radius_difference","attained_radius_difference_mcse"
61,"PanIC-CF","CV-min","PanIC-CF minus CV-min",500,-0.602,0.0983592450264045,0.002,0.0034664148718998,-0.051271868102523,0.00713382315878076,0.000530691200347317,0.00017408935896553,-0.0513333333333328,0.00716078038860075,-0.0512718681025225,0.0071338231587807
61,"PanIC-CF-original","CV-min","PanIC-CF-original minus CV-min",500,-0.352,0.0936896338715763,0,0.00283125980159509,-0.0313259323745821,0.00679022182570732,0.000423558610426619,0.000158588718242912,-0.0313333333333331,0.00682451734284657,-0.0313259323745819,0.00679022182570726
61,"PanIC-CF","PanIC-CF-original","PanIC-CF minus PanIC-CF-original",500,-0.25,0.0462523356936083,0.002,0.002,-0.0199459357279409,0.00353453049556462,0.000107132589920697,7.50956372064424e-05,-0.0199999999999998,0.00354379037667307,-0.0199459357279407,0.00353453049556459
61,"PanIC-CF","CV-1SE","PanIC-CF minus CV-1SE",500,4.93,0.10778420510325,-0.364,0.0215391706373177,0.489870285270571,0.00905197619193477,-0.0237047007564575,0.000894355718138395,0.489999999999997,0.00906568229164514,0.489870285270568,0.00905197619193479
121,"PanIC-CF","CV-min","PanIC-CF minus CV-min",500,-0.678,0.0705307107742765,0.006,0.00345715255775836,-0.0566666666666667,0.00488341022143149,0.000259755502254976,0.000124371810190378,-0.0566666666666666,0.00488341022143149,-0.0566666666666666,0.00488341022143149
121,"PanIC-CF-original","CV-min","PanIC-CF-original minus CV-min",500,-0.398,0.0670535932574645,0.002,0.002,-0.0336666666666667,0.00467846109513155,0.000124138958913987,0.000110137345210151,-0.0336666666666666,0.00467846109513154,-0.0336666666666666,0.00467846109513154
121,"PanIC-CF","PanIC-CF-original","PanIC-CF minus PanIC-CF-original",500,-0.28,0.0371747754244151,0.004,0.00282559160811887,-0.023,0.0026162144493483,0.000135616543340989,6.09858639037757e-05,-0.023,0.00261621444934831,-0.023,0.00261621444934831
121,"PanIC-CF","CV-1SE","PanIC-CF minus CV-1SE",500,5.19,0.0944332318124349,-0.494,0.0223814624124393,0.563,0.00766387797441796,-0.0326067912153644,0.000916003734070995,0.563,0.00766387797441799,0.563,0.00766387797441799
241,"PanIC-CF","CV-min","PanIC-CF minus CV-min",500,-0.826,0.0608510781121816,0.004,0.00282559160811887,-0.0701666666666667,0.00385713328478228,0.000178361604544106,0.000115076221208278,-0.0701666666666667,0.00385713328478228,-0.0701666666666667,0.00385713328478228
241,"PanIC-CF-original","CV-min","PanIC-CF-original minus CV-min",500,-0.532,0.0565716599138721,0.004,0.00282559160811887,-0.0468333333333334,0.0038229215868126,2.11178661026044e-05,9.7195374659333e-05,-0.0468333333333334,0.0038229215868126,-0.0468333333333334,0.0038229215868126
241,"PanIC-CF","PanIC-CF-original","PanIC-CF minus PanIC-CF-original",500,-0.294,0.03276086917495,0,0,-0.0233333333333333,0.00183365212507366,0.000157243738441502,5.01675416707417e-05,-0.0233333333333332,0.00183365212507365,-0.0233333333333332,0.00183365212507365
241,"PanIC-CF","CV-1SE","PanIC-CF minus CV-1SE",500,5.196,0.0898627767057894,-0.568,0.0221751092656132,0.591333333333333,0.00684097443320211,-0.0375470170101851,0.000939499498163858,0.591333333333333,0.00684097443320209,0.591333333333333,0.00684097443320209
