"method","lower_radius_points","upper_radius_points","paired_replications","wrong_difference","wrong_difference_mcse","exact_difference","exact_difference_mcse","signed_attained_radius_error_difference","signed_attained_radius_error_difference_mcse","test_deviance_difference","test_deviance_difference_mcse","selected_grid_radius_difference","selected_grid_radius_difference_mcse","attained_radius_difference","attained_radius_difference_mcse"
"PanIC-CF",61,121,500,-0.146,0.0787258758417721,0,0.00283125980159509,-0.00953695193723759,0.00560280425605629,-0.000609543456565878,0.000146907648509539,-0.00966666666666486,0.00561630336652028,-0.00953695193723571,0.00560280425605626
"PanIC-CF",121,241,500,-0.18,0.0556902397697411,-0.002,0.00346641487189985,-0.0126666666666666,0.00347738182671065,-0.000186309333278087,8.88399620852081e-05,-0.0126666666666672,0.00347738182671065,-0.0126666666666672,0.00347738182671065
"PanIC-CF",61,241,500,-0.326,0.0801767086454565,-0.002,0.00447571939784613,-0.0222036186039042,0.00522507064024243,-0.000795852789843965,0.000138298906009312,-0.022333333333332,0.00523891456171049,-0.0222036186039029,0.00522507064024236
"PanIC-CF-original",61,121,500,-0.116,0.079760965536072,-0.002,0.002,-0.00648288766517848,0.00561810342255981,-0.000638027409986171,0.000145920868462238,-0.00666666666666459,0.00563492623520849,-0.00648288766517641,0.00561810342255978
"PanIC-CF-original",121,241,500,-0.166,0.0534659256949774,0.002,0.00346641487189981,-0.0123333333333333,0.00329067561161087,-0.000207936528378601,8.53926812981611e-05,-0.012333333333334,0.00329067561161086,-0.012333333333334,0.00329067561161086
"PanIC-CF-original",61,241,500,-0.282,0.0768424461026982,0,0.00400400601001753,-0.0188162209985118,0.00507959966262122,-0.000845963938364771,0.000120454184384878,-0.0189999999999986,0.00509869198781796,-0.0188162209985104,0.00507959966262115
"BIC-like",61,121,500,-0.268,0.0601297194932145,0.002,0.0125021841779121,0.00500000000000001,0.00588002593238215,-0.000597892172835674,0.000309144386160525,0.00499999999999871,0.00588002593238213,0.00499999999999871,0.00588002593238213
"BIC-like",121,241,500,-0.218,0.0482660462690377,0.018,0.0114723681278506,0.00266666666666666,0.00493073827285392,-0.000325706844668791,0.000263426901534523,0.00266666666666696,0.0049307382728539,0.00266666666666696,0.0049307382728539
"BIC-like",61,241,500,-0.486,0.0649001699853571,0.02,0.0149548418443385,0.00766666666666668,0.00627296049725594,-0.000923599017504463,0.000336845356408908,0.00766666666666567,0.0062729604972559,0.00766666666666567,0.0062729604972559
"CV-min",61,121,500,-0.07,0.0791880135056178,-0.004,0.00282559160811886,-0.00414215337309393,0.00541804714647981,-0.000338607758473538,0.000115358004503194,-0.00433333333333099,0.0054282428584164,-0.00414215337309164,0.00541804714647976
"CV-min",121,241,500,-0.032,0.0472696609008712,0,0,0.000833333333333328,0.0027360199091417,-0.00010491543556722,6.23675728243333e-05,0.00083333333333287,0.0027360199091417,0.00083333333333287,0.0027360199091417
"CV-min",61,241,500,-0.102,0.0698064314784211,-0.004,0.00282559160811886,-0.00330882003976058,0.00460096643967858,-0.000443523194040759,9.68563715360559e-05,-0.00349999999999822,0.00461172810041353,-0.00330882003975871,0.00460096643967852
"CV-1SE",61,121,500,-0.406,0.0372707152121454,0.13,0.0155783622612097,-0.0826666666666667,0.00393376468089855,0.008292547002341,0.000441042089234199,-0.0826666666666682,0.00393376468089862,-0.0826666666666682,0.00393376468089862
"CV-1SE",121,241,500,-0.186,0.0219035963958007,0.072,0.0115715080952829,-0.041,0.0019808142335498,0.00475391646154265,0.000252284498107538,-0.0410000000000001,0.00198081423354979,-0.0410000000000001,0.00198081423354979
"CV-1SE",61,241,500,-0.592,0.0419355359850891,0.202,0.0179732600312882,-0.123666666666667,0.00421026621153972,0.0130464634638837,0.000487277850905416,-0.123666666666668,0.0042102662115397,-0.123666666666668,0.0042102662115397
