"radius_points","method","grid_spacing","attempted_replications","method_failures","fp_mean","fp_mcse","fn_mean","fn_mcse","fpr_mean","fpr_mcse","fnr_mean","fnr_mcse","exact_mean","exact_mcse","wrong_mean","wrong_mcse","signed_attained_radius_error_mean","signed_attained_radius_error_mcse","test_deviance_mean","test_deviance_mcse","selected_grid_radius_mean","selected_grid_radius_mcse","attained_radius_mean","attained_radius_mcse","selected_lower_endpoint_mean","selected_lower_endpoint_mcse","selected_upper_endpoint_mean","selected_upper_endpoint_mcse","full_path_failures","calibration_failures","calibration_default_uses","cv_failures","mean_shared_runtime","mcse_shared_runtime","maximum_radius_interpolation_error"
61,"PanIC-CF",0.333333333333333,500,0,6.204,0.107087363431983,0,0,0.6204,0.0107087363431983,0,0,0.008,0.00398795782515695,6.204,0.107087363431983,-0.0304073748978088,0.00830839542633377,1.01992973600026,0.00150194463846023,3.132,0.00832409641716885,3.13187028527057,0.00830839542633371,0,0,0,0,0,0,0,0,0.06738,0.000351097905831063,2.22044604925031e-15
61,"PanIC-CF-original",0.333333333333333,500,0,6.454,0.10627491102526,0,0,0.6454,0.010627491102526,0,0,0.006,0.00345715255775837,6.454,0.10627491102526,-0.0104614391698679,0.00826487388772487,1.01982260341034,0.00150304901631258,3.152,0.00828226167078974,3.15181622099851,0.00826487388772483,0,0,0,0,0,0,0,0,0.06738,0.000351097905831063,2.22044604925031e-15
61,"BIC-like",0.333333333333333,500,0,2.678,0.0805581232554785,0,0,0.2678,0.00805581232554785,0,0,0.124,0.0147540966085175,2.678,0.0805581232554785,-0.29627766016838,0.00844640720664782,1.02715930484875,0.00157763266580824,2.866,0.00844640720664773,2.866,0.00844640720664773,0,0,0,0,0,0,0,0,0.06738,0.000351097905831063,2.22044604925031e-15
61,"CV-min",0.333333333333333,500,0,6.806,0.101258256300106,0,0,0.6806,0.0101258256300106,0,0,0.006,0.00345715255775836,6.806,0.101258256300106,0.0208644932047142,0.00788133581126993,1.01939904479992,0.00150053527532538,3.18333333333333,0.00788895317996381,3.18314215337309,0.00788133581126985,0,0,0,0,0,0,0,0,0.06738,0.000351097905831063,2.22044604925031e-15
61,"CV-1SE",0.333333333333333,500,0,1.274,0.0629107584364876,0,0,0.1274,0.00629107584364876,0,0,0.372,0.0216371979857224,1.274,0.0629107584364876,-0.52027766016838,0.00818027780708656,1.04363443675672,0.00173426639266641,2.642,0.00818027780708668,2.642,0.00818027780708668,0,0,0,0,0,0,0,0,0.06738,0.000351097905831063,2.22044604925031e-15
121,"PanIC-CF",0.166666666666667,500,0,6.058,0.0916846997504853,0,0,0.6058,0.00916846997504856,0,0,0.008,0.00398795782515695,6.058,0.0916846997504853,-0.0399443268350464,0.0070908944280536,1.0193201925437,0.00151321457887017,3.12233333333333,0.0070908944280536,3.12233333333333,0.0070908944280536,0,0,0,0,0,0,0,0,0.0887619999999999,0.000491126381132688,2.22044604925031e-15
121,"PanIC-CF-original",0.166666666666667,500,0,6.338,0.0901985785205858,0,0,0.6338,0.00901985785205857,0,0,0.004,0.00282559160811887,6.338,0.0901985785205858,-0.0169443268350464,0.00701342670068988,1.01918457600036,0.00150471837813797,3.14533333333333,0.00701342670068986,3.14533333333333,0.00701342670068986,0,0,0,0,0,0,0,0,0.0887619999999999,0.000491126381132688,2.22044604925031e-15
121,"BIC-like",0.166666666666667,500,0,2.41,0.0769912677556439,0,0,0.241,0.00769912677556436,0,0,0.126,0.0148556177507875,2.41,0.0769912677556439,-0.29127766016838,0.0078639483318962,1.02656141267592,0.00157254929640871,2.871,0.00786394833189621,2.871,0.00786394833189621,0,0,0,0,0,0,0,0,0.0887619999999999,0.000491126381132688,2.22044604925031e-15
121,"CV-min",0.166666666666667,500,0,6.736,0.0891993331930468,0,0,0.6736,0.00891993331930467,0,0,0.002,0.002,6.736,0.0891993331930468,0.0167223398316203,0.00703287758878271,1.01906043704144,0.00149602790498661,3.179,0.00703287758878268,3.179,0.00703287758878268,0,0,0,0,0,0,0,0,0.0887619999999999,0.000491126381132688,2.22044604925031e-15
121,"CV-1SE",0.166666666666667,500,0,0.868,0.0517155779432466,0,0,0.0868,0.00517155779432465,0,0,0.502,0.0223828949864835,0.868,0.0517155779432466,-0.602944326835046,0.00765714898168517,1.05192698375906,0.00177086088023109,2.55933333333333,0.00765714898168517,2.55933333333333,0.00765714898168517,0,0,0,0,0,0,0,0,0.0887619999999999,0.000491126381132688,2.22044604925031e-15
241,"PanIC-CF",0.0833333333333333,500,0,5.878,0.0905462824113561,0,0,0.5878,0.0090546282411356,0,0,0.006,0.00345715255775838,5.878,0.0905462824113561,-0.0526109935017131,0.00653014863828011,1.01913388321042,0.00150937087887059,3.10966666666667,0.00653014863828009,3.10966666666667,0.00653014863828009,0,0,0,0,0,0,0,0,0.131026,0.000697664762074515,4.66176455216072e-08
241,"PanIC-CF-original",0.0833333333333333,500,0,6.172,0.0888855065043401,0,0,0.6172,0.00888855065043399,0,0,0.006,0.00345715255775838,6.172,0.0888855065043401,-0.0292776601683797,0.00658600163237682,1.01897663947198,0.00150618507190598,3.133,0.00658600163237682,3.133,0.00658600163237682,0,0,0,0,0,0,0,0,0.131026,0.000697664762074515,4.66176455216072e-08
241,"BIC-like",0.0833333333333333,500,0,2.192,0.0731640482471536,0,0,0.2192,0.00731640482471535,0,0,0.144,0.0157169349457258,2.192,0.0731640482471536,-0.288610993501713,0.00774810799266784,1.02623570583125,0.00156537593942106,2.87366666666667,0.00774810799266782,2.87366666666667,0.00774810799266782,0,0,0,0,0,0,0,0,0.131026,0.000697664762074515,4.66176455216072e-08
241,"CV-min",0.0833333333333333,500,0,6.704,0.0874990294821641,0,0,0.6704,0.00874990294821642,0,0,0.002,0.002,6.704,0.0874990294821641,0.0175556731649536,0.00687977279119216,1.01895552160588,0.00149612339940566,3.17983333333333,0.00687977279119217,3.17983333333333,0.00687977279119217,0,0,0,0,0,0,0,0,0.131026,0.000697664762074515,4.66176455216072e-08
241,"CV-1SE",0.0833333333333333,500,0,0.682,0.0446064060749783,0,0,0.0682,0.00446064060749782,0,0,0.574,0.0221365773350856,0.682,0.0446064060749783,-0.643944326835046,0.00735923342701307,1.0566809002206,0.00177268389717319,2.51833333333333,0.00735923342701306,2.51833333333333,0.00735923342701306,0,0,0,0,0,0,0,0,0.131026,0.000697664762074515,4.66176455216072e-08
