"scenario_id","family","n","rho","lhs_method","rhs_method","comparison","paired_replications","fp_difference","fp_difference_mcse","fn_difference","fn_difference_mcse","fpr_difference","fpr_difference_mcse","fnr_difference","fnr_difference_mcse","exact_difference","exact_difference_mcse","wrong_difference","wrong_difference_mcse","signed_attained_radius_error_difference","signed_attained_radius_error_difference_mcse","test_deviance_difference","test_deviance_difference_mcse","selected_grid_radius_difference","selected_grid_radius_difference_mcse","attained_radius_difference","attained_radius_difference_mcse","relative_test_deviance_difference","relative_test_deviance_difference_mcse"
"linear_iid_n500","gaussian",500,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.725,0.0469636091094007,0,0,-0.0725,0.00469636091094006,0,0,0.002,0.00141350557055782,-0.725,0.0469636091094007,-0.0815000000000001,0.00427049156530257,0.000355060649492776,0.000140313587613617,-0.0814999999999999,0.00427049156530256,-0.0814999999999999,0.00427049156530256,0.000347152019738542,0.000134815384998673
"linear_iid_n500","gaussian",500,0,"PanIC-CF","BIC-like","PanIC-CF minus BIC-like",1000,3.237,0.0690477993754949,0,0,0.3237,0.00690477993754951,0,0,-0.087,0.00902842802001056,3.237,0.0690477993754949,0.296333333333333,0.00678719049708585,-0.0113200386521229,0.000472356759040433,0.296333333333334,0.00678719049708587,0.296333333333334,0.00678719049708587,-0.0105479907293996,0.000433022569127057
"linear_iid_n500","gaussian",500,0,"BIC-like","CV","BIC-like minus CV",1000,-3.962,0.0697956118063839,0,0,-0.3962,0.00697956118063838,0,0,0.089,0.00900889339265154,-3.962,0.0697956118063839,-0.377833333333333,0.00713665137890422,0.0116750993016157,0.000500111773389984,-0.377833333333334,0.00713665137890421,-0.377833333333334,0.00713665137890421,0.0112112763577591,0.000477343261447289
"linear_iid_n2000","gaussian",2000,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.504,0.0551091736557626,0,0,-0.0504,0.00551091736557625,0,0,0.001,0.00173262863938066,-0.504,0.0551091736557626,-0.0313149970495528,0.00277247920681442,4.6975716935038e-05,4.78526646970035e-05,-0.031333333333333,0.00277355033672711,-0.0313149970495525,0.00277247920681441,4.92922013161203e-05,4.74967142122884e-05
"linear_iid_n2000","gaussian",2000,0,"PanIC-CF","BIC-like","PanIC-CF minus BIC-like",1000,3.897,0.0785019334383144,0,0,0.3897,0.00785019334383146,0,0,-0.145,0.0111399775178901,3.897,0.0785019334383144,0.19881813210145,0.00414526345105643,-0.00415229810368199,0.000164154454697236,0.198666666666669,0.00415584513987281,0.198818132101452,0.00414526345105646,-0.00407391178511305,0.000160595348519919
"linear_iid_n2000","gaussian",2000,0,"BIC-like","CV","BIC-like minus CV",1000,-4.401,0.0780274777708935,0,0,-0.4401,0.00780274777708939,0,0,0.146,0.0111717862854965,-4.401,0.0780274777708935,-0.230133129151003,0.00416458485537924,0.00419927382061703,0.000173664532369756,-0.230000000000002,0.00417741356792106,-0.230133129151005,0.00416458485537923,0.00416674930874773,0.000172333114447567
"logistic_iid_n500","binomial",500,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.218,0.0441182776456927,0.005,0.00538553655674201,-0.0218,0.00441182776456926,5e-04,0.000538553655674197,0.004,0.00199699473909873,-0.213,0.0433533217932664,-0.0601666666666667,0.0103178802618339,0.00029058170273423,0.000139304439700676,-0.0601666666666666,0.0103178802618339,-0.0601666666666666,0.0103178802618339,0.000241121762644105,0.000112017929272727
"logistic_iid_n500","binomial",500,0,"PanIC-CF","BIC-like","PanIC-CF minus BIC-like",1000,4.31,0.0782817221835853,-1.564,0.0973312764602278,0.431,0.00782817221835855,-0.1564,0.0097331276460228,-0.06,0.00751375115747492,2.746,0.0965132053078686,1.074,0.025368414324396,-0.029227671303594,0.00143622399937614,1.074,0.025368414324396,1.074,0.025368414324396,-0.0218910748296805,0.00103995234137779
"logistic_iid_n500","binomial",500,0,"BIC-like","CV","BIC-like minus CV",1000,-4.528,0.0809306231643237,1.569,0.0975641212626735,-0.4528,0.00809306231643238,0.1569,0.00975641212626746,0.064,0.00774364022691931,-2.959,0.0955429089333555,-1.13416666666667,0.0269686845959852,0.0295182530063282,0.00145207349001498,-1.13416666666667,0.0269686845959852,-1.13416666666667,0.0269686845959852,0.0238672255008971,0.00117364252053731
"logistic_iid_n2000","binomial",2000,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.259,0.041733208128068,0,0,-0.0259,0.00417332081280684,0,0,0.002,0.00141350557055781,-0.259,0.041733208128068,-0.0398333333333334,0.00482677059544451,-1.10587472013792e-07,3.47079102807244e-05,-0.0398333333333334,0.00482677059544451,-0.0398333333333334,0.00482677059544451,1.4121320514219e-06,2.88286728613556e-05
"logistic_iid_n2000","binomial",2000,0,"PanIC-CF","BIC-like","PanIC-CF minus BIC-like",1000,4.155,0.071568827691231,0,0,0.4155,0.00715688276912306,0,0,-0.103,0.0096168333396958,4.155,0.071568827691231,0.494333333333333,0.00937491927077537,-0.00428894063535602,0.000149120406730305,0.494333333333333,0.00937491927077539,0.494333333333333,0.00937491927077539,-0.00354370685161518,0.000123088250343523
"logistic_iid_n2000","binomial",2000,0,"BIC-like","CV","BIC-like minus CV",1000,-4.414,0.0704667976395238,0,0,-0.4414,0.00704667976395236,0,0,0.105,0.00969892102602496,-4.414,0.0704667976395238,-0.534166666666667,0.00964123280689264,0.00428883004788401,0.000153554183161621,-0.534166666666667,0.00964123280689265,-0.534166666666667,0.00964123280689265,0.00357312251512347,0.00012808331450339
"linear_ar1_n1000","gaussian",1000,0.5,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.573,0.0463553645204071,0,0,-0.0573,0.00463553645204071,0,0,0.003,0.00173031615434694,-0.573,0.0463553645204071,-0.0621545672476574,0.00398682639094417,8.49579396925725e-05,8.07377528159688e-05,-0.0621666666666667,0.00398763172350682,-0.0621545672476574,0.00398682639094418,8.83024231402806e-05,7.88816427518949e-05
