"scenario_id","family","n","rho","lhs_method","rhs_method","comparison","paired_replications","fp_difference","fp_difference_mcse","fn_difference","fn_difference_mcse","fpr_difference","fpr_difference_mcse","fnr_difference","fnr_difference_mcse","exact_difference","exact_difference_mcse","wrong_difference","wrong_difference_mcse","signed_attained_radius_error_difference","signed_attained_radius_error_difference_mcse","test_deviance_difference","test_deviance_difference_mcse","selected_grid_radius_difference","selected_grid_radius_difference_mcse","attained_radius_difference","attained_radius_difference_mcse","relative_test_deviance_difference","relative_test_deviance_difference_mcse"
"linear_iid_n500","gaussian",500,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.655,0.0462180820795399,0,0,-0.0655,0.00462180820795404,0,0,0.002,0.00141350557055781,-0.655,0.0462180820795399,-0.0808333333333333,0.00430258785642576,0.000365849322400683,0.000149724600159413,-0.0808333333333335,0.00430258785642576,-0.0808333333333335,0.00430258785642576,0.000351819447855244,0.000143132824419419
"linear_iid_n1000","gaussian",1000,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.573,0.0494278677884663,0,0,-0.0573,0.00494278677884663,0,0,0.001,0.001,-0.573,0.0494278677884663,-0.0505,0.00333162702407044,5.05172164593091e-05,7.71660022336783e-05,-0.0504999999999999,0.00333162702407043,-0.0504999999999999,0.00333162702407043,5.18332410273495e-05,7.54276811563855e-05
"logistic_iid_n500","binomial",500,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.08,0.043903616337695,-0.006,0.00447034495134144,-0.008,0.0043903616337695,-0.000600000000000004,0.000447034495134147,0.003,0.00173031615434693,-0.086,0.0432952477585989,-0.0305,0.00996254664576293,9.94470988907848e-05,0.000121586284815491,-0.0305,0.00996254664576295,-0.0305,0.00996254664576295,8.66645523058929e-05,9.77589935885312e-05
"logistic_iid_n1000","binomial",1000,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.109,0.0406789106758497,0,0,-0.0109,0.004067891067585,0,0,0.001,0.001,-0.109,0.0406789106758497,-0.0418333333333333,0.00643231530910848,-3.83664893180352e-05,5.68699201655646e-05,-0.0418333333333332,0.00643231530910847,-0.0418333333333332,0.00643231530910847,-2.72645310669116e-05,4.66179477073871e-05
"linear_ar1_n500","gaussian",500,0.5,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.697,0.0457086455747738,0,0,-0.0697,0.00457086455747737,0,0,0.004,0.00199699473909873,-0.697,0.0457086455747738,-0.108833333333333,0.00536352554717361,0.000200036137143109,0.000147225706420432,-0.108833333333333,0.00536352554717362,-0.108833333333333,0.00536352554717362,0.00021205140787919,0.000141279839454459
"linear_ar1_n1000","gaussian",1000,0.5,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.621,0.0485150771689864,0,0,-0.0621,0.00485150771689865,0,0,0,0,-0.621,0.0485150771689864,-0.0706666666666666,0.00396789473563469,0.000123694933935418,8.0781055703161e-05,-0.0706666666666667,0.00396789473563467,-0.0706666666666667,0.00396789473563467,0.000125256272736103,7.90625999966432e-05
"logistic_ar1_n500","binomial",500,0.5,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.161,0.0450233950975056,0.004,0.00374138984843841,-0.0161,0.00450233950975056,0.00040000000000001,0.00037413898484384,0,0,-0.157,0.0445683445658164,-0.0858333333333333,0.0126661738397006,0.000359027164751899,0.000132916276219742,-0.0858333333333332,0.0126661738397006,-0.0858333333333332,0.0126661738397006,0.000296958094850324,0.000107218211731129
"logistic_ar1_n1000","binomial",1000,0.5,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.145,0.0380713071016012,0,0,-0.0145,0.00380713071016013,0,0,0.001,0.001,-0.145,0.0380713071016012,-0.0513333333333334,0.00785875194954177,-4.80991557292199e-05,5.55798861668618e-05,-0.0513333333333334,0.00785875194954179,-0.0513333333333335,0.00785875194954179,-3.74962551506338e-05,4.56506931785246e-05
"poisson_iid_n500","poisson",500,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.473,0.0507922321900785,0,0,-0.0473,0.00507922321900786,0,0,0.001,0.001,-0.473,0.0507922321900785,-0.0423333333333333,0.0035509698907401,0.000215204594578807,0.000184589211064753,-0.0423333333333333,0.0035509698907401,-0.0423333333333333,0.0035509698907401,0.000206922420229509,0.000167276696244594
"poisson_iid_n1000","poisson",1000,0,"PanIC-CF","CV","PanIC-CF minus CV",1000,-0.532,0.0598377519343475,0,0,-0.0532,0.00598377519343484,0,0,0.001,0.00100000000000001,-0.532,0.0598377519343475,-0.0322998536649087,0.00287712974912133,8.2183583595604e-05,9.27602069008314e-05,-0.0323333333333331,0.00288030989200168,-0.0322998536649084,0.00287712974912131,7.93357415079076e-05,8.63898123058811e-05
