"scenario_id","family","n","rho","paired_replications","wrong_difference","wrong_difference_mcse","relative_test_deviance_difference","relative_test_deviance_difference_mcse","support_upper_one_sided_95","relative_deviance_upper_one_sided_95"
"linear_iid_n500","gaussian",500,0,1000,-0.655,0.0462180820795399,0.000351819447855244,0.000143132824419419,-0.578978020060728,0.000587251993237333
"linear_iid_n1000","gaussian",1000,0,1000,-0.573,0.0494278677884663,5.18332410273495e-05,7.54276811563855e-05,-0.491698392395663,0.000175900735949969
"logistic_iid_n500","binomial",500,0,1000,-0.086,0.0432952477585989,8.66645523058929e-05,9.77589935885312e-05,-0.014785654694506,0.000247463787477114
"logistic_iid_n1000","binomial",1000,0,1000,-0.109,0.0406789106758497,-2.72645310669116e-05,4.66179477073871e-05,-0.0420891462343936,4.94151693006182e-05
"linear_ar1_n500","gaussian",500,0.5,1000,-0.697,0.0457086455747738,0.00021205140787919,0.000141279839454459,-0.621815968543294,0.000444436064220978
"linear_ar1_n1000","gaussian",1000,0.5,1000,-0.621,0.0485150771689864,0.000125256272736103,7.90625999966432e-05,-0.541199799356762,0.000255302677096795
"logistic_ar1_n500","binomial",500,0.5,1000,-0.157,0.0445683445658164,0.000296958094850324,0.000107218211731129,-0.083691596793694,0.000473316359291521
"logistic_ar1_n1000","binomial",1000,0.5,1000,-0.145,0.0380713071016012,-3.74962551506338e-05,4.56506931785246e-05,-0.0823782724311479,3.75924530969112e-05
"poisson_iid_n500","poisson",500,0,1000,-0.473,0.0507922321900785,0.000206922420229509,0.000167276696244594,-0.389454212661188,0.000482068100751889
"poisson_iid_n1000","poisson",1000,0,1000,-0.532,0.0598377519343475,7.93357415079076e-05,8.63898123058811e-05,-0.433575656702166,0.000221434337610893
