"scenario_id","family","n","rho","method","attempted_replications","failed_replications","successful_replications","fp_mean","fp_mcse","fn_mean","fn_mcse","fpr_mean","fpr_mcse","fnr_mean","fnr_mcse","exact_mean","exact_mcse","wrong_mean","wrong_mcse","signed_attained_radius_error_mean","signed_attained_radius_error_mcse","test_deviance_mean","test_deviance_mcse","selected_grid_radius_mean","selected_grid_radius_mcse","attained_radius_mean","attained_radius_mcse","selected_lower_endpoint_mean","selected_lower_endpoint_mcse","selected_upper_endpoint_mean","selected_upper_endpoint_mcse"
"linear_iid_n500","gaussian",500,0,"PanIC-CF",1000,0,1000,5.992,0.0632133841202315,0,0,0.5992,0.00632133841202316,0,0,0.002,0.00141350557055782,5.992,0.0632133841202315,-0.0669443268350463,0.00668419450898996,1.0396292608472,0.00118435816281786,3.09533333333333,0.00668419450898999,3.09533333333333,0.00668419450898999,0,0,0,0
"linear_iid_n500","gaussian",500,0,"BIC-like",1000,0,1000,2.681,0.0540199699847857,0,0,0.2681,0.0054019969984786,0,0,0.076,0.0083841692667964,2.681,0.0540199699847857,-0.36627766016838,0.00800022244157435,1.0513657989744,0.00130902817176774,2.796,0.00800022244157436,2.796,0.00800022244157436,0,0,0,0
"linear_iid_n500","gaussian",500,0,"CV",1000,0,1000,6.647,0.0626603328854651,0,0,0.6647,0.00626603328854651,0,0,0,0,6.647,0.0626603328854651,0.013889006498287,0.00682199552596522,1.0392634115248,0.00117417220171368,3.17616666666667,0.00682199552596521,3.17616666666667,0.00682199552596521,0,0,0,0
"linear_iid_n1000","gaussian",1000,0,"PanIC-CF",1000,0,1000,6.072,0.0641477274026986,0,0,0.6072,0.00641477274026987,0,0,0.001,0.001,6.072,0.0641477274026986,-0.0489443268350463,0.00452873031733798,1.01930640472379,0.00105812800193087,3.11333333333333,0.00452873031733798,3.11333333333333,0.00452873031733798,0,0,0,0
"linear_iid_n1000","gaussian",1000,0,"BIC-like",1000,0,1000,2.338,0.0520236721355044,0,0,0.2338,0.00520236721355044,0,0,0.126,0.010499249222408,2.338,0.0520236721355044,-0.301110993501713,0.00549291765518006,1.02686335983908,0.00109249038491435,2.86116666666667,0.00549291765518007,2.86116666666667,0.00549291765518007,0,0,0,0
"linear_iid_n1000","gaussian",1000,0,"CV",1000,0,1000,6.645,0.0638988110848557,0,0,0.6645,0.00638988110848559,0,0,0,0,6.645,0.0638988110848557,0.0015556731649536,0.00488640566200011,1.01925588750733,0.00105732293060977,3.16383333333333,0.00488640566200011,3.16383333333333,0.00488640566200011,0,0,0,0
"logistic_iid_n500","binomial",500,0,"PanIC-CF",1000,0,1000,6.271,0.0620113248076866,0.046,0.0066278147173807,0.6271,0.00620113248076865,0.0046,0.000662781471738072,0.003,0.00173031615434693,6.317,0.0615816799324544,-0.134110993501713,0.0174987796895657,1.23564532835011,0.000686008665474653,3.02816666666667,0.0174987796895657,3.02816666666667,0.0174987796895657,0,0,0,0
"logistic_iid_n500","binomial",500,0,"BIC-like",1000,0,1000,1.847,0.0559528526683107,1.426,0.0913064119372827,0.1847,0.00559528526683107,0.1426,0.00913064119372829,0.075,0.00833333333333338,3.273,0.0836029931309908,-1.20777766016838,0.0290013169000563,1.26201736730045,0.00152999206173374,1.9545,0.0290013169000563,1.9545,0.0290013169000563,0.083,0.00872852720607479,0,0
"logistic_iid_n500","binomial",500,0,"CV",1000,0,1000,6.351,0.0623834167923711,0.052,0.00716570633973706,0.6351,0.00623834167923712,0.00520000000000001,0.000716570633973698,0,0,6.403,0.0619389007605675,-0.103610993501713,0.017370919951778,1.23554588125122,0.000689067003993391,3.05866666666667,0.017370919951778,3.05866666666667,0.017370919951778,0,0,0,0
"logistic_iid_n1000","binomial",1000,0,"PanIC-CF",1000,0,1000,6.534,0.0590451550114854,0,0,0.6534,0.00590451550114855,0,0,0.001,0.001,6.534,0.0590451550114854,-0.0912776601683798,0.0112584376840551,1.2177089025642,0.000547479288197887,3.071,0.0112584376840551,3.071,0.0112584376840551,0,0,0,0
